voucher,vendor_id,vendor_name,invoice_num,terms_code,created_date,created_amount,event_type,event_date,event_amount,running_open_after_event,source_program,source_item_id
13593,9881302,US Customs and Border Protection,53232280E2,,2023-09-18,14459.35,V,2023-09-18,14459.35,14459.35,,
13594,9881302,US Customs and Border Protection,1423228063,,2023-09-18,34913.24,V,2023-09-18,34913.24,34913.24,,
13595,9881301,UPS,1704800867,,2023-09-18,360.31,V,2023-09-18,360.31,360.31,,
13608,9148301,CNA Insurance,09182023,,2023-09-18,900.75,V,2023-09-18,900.75,900.75,,
13597,9135801,"C.H Robinson International, Inc.",6187943519,,2023-09-19,2519.00,V,2023-09-19,2519.00,2519.00,,
13598,9276701,FedEx,8-259-65708,,2023-09-19,20.00,V,2023-09-19,20.00,20.00,,
13598,9276701,FedEx,8-259-65708,,2023-09-19,20.00,P,2023-09-26,-20.00,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[d1cfb611-7910-407b-aa7c-164be34abc1a] aptrxp.DT=[2023-09-26 11:54:12.890]
13585,1897801,Vatsalya Metal Industries,CAR-191,,2023-09-20,-1196.49,V,2023-09-20,-1196.49,-1196.49,,
13599,1810801,"Star Rubber & Plastics Co., Ltd",APR-20230053,N90,2023-09-20,522.00,V,2023-09-20,522.00,522.00,,
13600,1966001,"XTO, Inc.",535654,N30,2023-09-20,612.50,V,2023-09-20,612.50,612.50,,
13601,1049001,"APR Asia Co., Ltd.",632218,,2023-09-20,27000.00,V,2023-09-20,27000.00,27000.00,,
13605,9135801,"C.H Robinson International, Inc.",6188012132,,2023-09-20,3355.89,V,2023-09-20,3355.89,3355.89,,
13605,9135801,"C.H Robinson International, Inc.",6188012132,,2023-09-20,3355.89,P,2023-10-13,-3355.89,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[7d0415c2-897d-4697-a7ba-b4289a51eb10] aptrxp.DT=[2023-10-13 11:43:05.743]
13604,1075101,Badger Rubber Company,78734,N30,2023-09-21,484.50,V,2023-09-21,484.50,484.50,,
13657,9719501,"Pro QC International North America, Inc.",131508,,2023-09-21,360.00,V,2023-09-21,360.00,360.00,,
13666,1897801,Vatsalya Metal Industries,CAR-192,,2023-09-21,-500.00,V,2023-09-21,-500.00,-500.00,,
13606,9881301,UPS,00001533W5383,,2023-09-23,130.29,V,2023-09-23,130.29,130.29,,
13603,1171101,"Daehun, Inc.",MDH23-APR0310-1,,2023-09-25,1450.00,V,2023-09-25,1450.00,1450.00,,
13607,1488202,Kennwu Manufacturing Sdn. Bhd.,2009715,N45,2023-09-25,74839.85,V,2023-09-25,74839.85,74839.85,,
13607,1488202,Kennwu Manufacturing Sdn. Bhd.,2009715,N45,2023-09-25,74839.85,P,2023-10-06,-74839.85,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[c3eaeb97-99eb-4163-9c87-938d3afeec19] aptrxp.DT=[2023-10-06 10:59:02.980]
13609,9190901,Michelle Dougan,589364,,2023-09-25,720.00,V,2023-09-25,720.00,720.00,,
13609,9190901,Michelle Dougan,589364,,2023-09-25,720.00,P,2023-09-25,-720.00,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[3aa16532-ec5f-4d0f-8574-1020113c82e2] aptrxp.DT=[2023-09-25 17:41:14.920]
13610,9342902,John Hancock USA - 401K,401K 2023-09-27,,2023-09-25,2225.25,V,2023-09-25,2225.25,2225.25,,
13627,9135801,"C.H Robinson International, Inc.",6188397714,,2023-09-26,2460.00,V,2023-09-26,2460.00,2460.00,,
13628,9437401,Its Water Time LLC,35476529,,2023-09-26,36.86,V,2023-09-26,36.86,36.86,,
13629,9276701,FedEx,8-266-86337,,2023-09-26,96.48,V,2023-09-26,96.48,96.48,,
13740,9708601,PIP Printing,184237,,2023-09-26,162.14,V,2023-09-26,162.14,162.14,,
13626,1488202,Kennwu Manufacturing Sdn. Bhd.,2009609,N60,2023-09-27,200.00,V,2023-09-27,200.00,200.00,,
13626,1488202,Kennwu Manufacturing Sdn. Bhd.,2009609,N60,2023-09-27,200.00,P,2023-10-06,-200.00,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[74fab63d-542d-4fb4-8f8a-01ccdb168789] aptrxp.DT=[2023-10-06 10:59:02.980]
13630,9276701,FedEx,2-200-83549,,2023-09-27,189.95,V,2023-09-27,189.95,189.95,,
13630,9276701,FedEx,2-200-83549,,2023-09-27,189.95,P,2023-10-13,-189.95,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[6cf1aba6-2eef-4205-816b-96774270e88b] aptrxp.DT=[2023-10-16 11:20:56.560]
13658,9719501,"Pro QC International North America, Inc.",131642,,2023-09-27,598.00,V,2023-09-27,598.00,598.00,,
13693,1488202,Kennwu Manufacturing Sdn. Bhd.,2009879,N45,2023-09-27,200.00,V,2023-09-27,200.00,200.00,,
13631,9237301,Employee Benefits Service (EBS),132102,,2023-09-28,117.31,V,2023-09-28,117.31,117.31,,
