billNo	billDate	dueDate	vendorId	amountCurrency	payments	openAmount	status
APR-20210098	2021-07-13	2021-07-13	1810801	1327.62	0.00	1327.62	OPEN
APR-20210097	2021-07-09	2021-07-09	1810801	8792.10	0.00	8792.10	OPEN
APR-20210094	2021-07-05	2021-07-05	1810801	784.00	0.00	784.00	OPEN
APR-20210091	2021-07-02	2021-07-02	1810801	115.24	0.00	115.24	OPEN
APR-20210092	2021-07-02	2021-07-02	1810801	123.50	0.00	123.50	OPEN
APR-20210088-TOOL	2021-06-28	2021-06-28	1810801	1384.00	0.00	1384.00	OPEN
APR-20190003B	2021-06-25	2021-06-25	1810801	87699.10	0.00	87699.10	OPEN
APR-20210086	2021-06-25	2021-06-25	1810801	458.64	0.00	458.64	OPEN
APR-20210087	2021-06-25	2021-06-25	1810801	455.90	0.00	455.90	OPEN
APR-20210089	2021-06-24	2021-06-24	1810801	38289.24	0.00	38289.24	OPEN
APR-20210082	2021-06-23	2021-06-23	1810801	34.55	0.00	34.55	OPEN
APR-20210083-TOOL	2021-06-23	2021-06-23	1810801	2750.00	0.00	2750.00	OPEN
APR-20210084	2021-06-23	2021-06-23	1810801	343.82	0.00	343.82	OPEN
APR-20210081	2021-06-17	2021-06-17	1810801	648.28	0.00	648.28	OPEN
APR-20210080	2021-06-16	2021-06-16	1810801	464.80	0.00	464.80	OPEN
APR-20210059-TOOL	2021-06-14	2021-06-14	1810801	1500.00	0.00	1500.00	OPEN
APR-20210077	2021-06-13	2021-06-13	1810801	38289.24	0.00	38289.24	OPEN
APR-20210045	2021-06-11	2021-06-11	1810801	121598.09	0.00	121598.09	OPEN
APR-20210069	2021-06-10	2021-06-10	1810801	38289.24	0.00	38289.24	OPEN
APR-20210076	2021-06-10	2021-06-10	1810801	800.00	0.00	800.00	OPEN
APR-20210070	2021-06-09	2021-06-09	1810801	2655.24	0.00	2655.24	OPEN
APR-20210071	2021-06-09	2021-06-09	1810801	3345.60	0.00	3345.60	OPEN
APR-20210075	2021-06-08	2021-06-08	1810801	1005.48	0.00	1005.48	OPEN
APR-20210067	2021-06-06	2021-06-06	1810801	38289.24	0.00	38289.24	OPEN
APR-20210068	2021-06-04	2021-06-04	1810801	1029.00	0.00	1029.00	OPEN
APR-20210066	2021-06-02	2021-06-02	1810801	960.00	0.00	960.00	OPEN
APR-20210031	2021-06-01	2021-06-01	1810801	159473.76	0.00	159473.76	OPEN
APR-20210035	2021-06-01	2021-06-01	1810801	112635.79	0.00	112635.79	OPEN
APR-20210064	2021-06-01	2021-06-01	1810801	1406.48	0.00	1406.48	OPEN
APR-20210063	2021-05-31	2021-05-31	1810801	1029.00	0.00	1029.00	OPEN
APR-20210062	2021-05-30	2021-05-30	1810801	1029.00	0.00	1029.00	OPEN
APR-20210060	2021-05-28	2021-05-28	1810801	5498.82	0.00	5498.82	OPEN
APR-20210061	2021-05-28	2021-05-28	1810801	2572.50	0.00	2572.50	OPEN
APR-20210058-TOOL	2021-05-24	2021-05-24	1810801	2397.50	0.00	2397.50	OPEN
APR-20210057	2021-05-20	2021-05-20	1810801	3423.42	0.00	3423.42	OPEN
APR-20210055	2021-05-19	2021-05-19	1810801	526.68	0.00	526.68	OPEN
APR-20210053	2021-05-18	2021-05-18	1810801	526.68	0.00	526.68	OPEN
APR-20210054-TOOL	2021-05-18	2021-05-18	1810801	224.10	0.00	224.10	OPEN
APR-20210052	2021-05-17	2021-05-17	1810801	1316.70	0.00	1316.70	OPEN
APR-20210051	2021-05-13	2021-05-13	1810801	236.70	0.00	236.70	OPEN
APR-20210050	2021-05-12	2021-05-12	1810801	2370.06	0.00	2370.06	OPEN
APR-20210024	2021-05-11	2021-05-11	1810801	142287.42	0.00	142287.42	OPEN
APR-20210048	2021-05-11	2021-05-11	1810801	1434.87	0.00	1434.87	OPEN
APR-20210049	2021-05-11	2021-05-11	1810801	308.88	0.00	308.88	OPEN
APR-20210025	2021-05-10	2021-05-10	1810801	153773.66	0.00	153773.66	OPEN
APR-20210047	2021-05-07	2021-05-07	1810801	419.86	0.00	419.86	OPEN
APR-20210046	2021-05-06	2021-05-06	1810801	1270.10	0.00	1270.10	OPEN
APR-20210044	2021-04-27	2021-04-27	1810801	313.60	0.00	313.60	OPEN
APR-20210042	2021-04-26	2021-04-26	1810801	603.29	0.00	603.29	OPEN
APR-20210043	2021-04-26	2021-04-26	1810801	2435.90	0.00	2435.90	OPEN
APR-20210041	2021-04-23	2021-04-23	1810801	502.74	0.00	502.74	OPEN
APR-20210039-TOOL	2021-04-22	2021-04-22	1810801	200.00	0.00	200.00	OPEN
APR-20210040	2021-04-22	2021-04-22	1810801	502.74	0.00	502.74	OPEN
APR-20210038	2021-04-19	2021-04-19	1810801	1528.80	0.00	1528.80	OPEN
APR-20210036	2021-04-16	2021-04-16	1810801	460.85	0.00	460.85	OPEN
APR-20210037	2021-04-16	2021-04-16	1810801	724.19	0.00	724.19	OPEN
APR-20210034	2021-04-15	2021-04-15	1810801	329.18	0.00	329.18	OPEN
APR-20210032	2021-04-09	2021-04-09	1810801	1109.60	0.00	1109.60	OPEN
APR-20210028	2021-04-02	2021-04-02	1810801	1514.21	0.00	1514.21	OPEN
APR-20210029	2021-04-02	2021-04-02	1810801	290.00	0.00	290.00	OPEN
APR-20210030	2021-04-02	2021-04-02	1810801	1023.67	0.00	1023.67	OPEN
APR-20210027-TOOL	2021-04-01	2021-04-01	1810801	2942.24	0.00	2942.24	OPEN
APR-20210026	2021-03-26	2021-03-26	1810801	1350.00	0.00	1350.00	OPEN
APR-20210014	2021-03-23	2021-03-23	1810801	157195.15	0.00	157195.15	OPEN
APR-20210023	2021-03-22	2021-03-22	1810801	8011.50	0.00	8011.50	OPEN
APR-20210022	2021-03-18	2021-03-18	1810801	746.00	0.00	746.00	OPEN
APR-20210021	2021-03-17	2021-03-17	1810801	746.00	0.00	746.00	OPEN
APR-20210020	2021-03-16	2021-03-16	1810801	746.00	0.00	746.00	OPEN
APR-20210018	2021-03-15	2021-03-15	1810801	4608.80	0.00	4608.80	OPEN
APR-20210019	2021-03-15	2021-03-15	1810801	639.16	0.00	639.16	OPEN
APR-20210017	2021-03-10	2021-03-10	1810801	29.26	0.00	29.26	OPEN
APR-20210006	2021-03-09	2021-03-09	1810801	105526.17	0.00	105526.17	OPEN
APR-20210008	2021-03-09	2021-03-09	1810801	65178.56	0.00	65178.56	OPEN
APR-20210015	2021-02-26	2021-02-26	1810801	178.63	0.00	178.63	OPEN
APR-20200129	2021-02-11	2021-02-11	1810801	104488.17	0.00	104488.17	OPEN
APR-20210013	2021-01-29	2021-01-29	1810801	1646.40	0.00	1646.40	OPEN
APR-20210012	2021-01-27	2021-01-27	1810801	117.60	0.00	117.60	OPEN
APR-20210011	2021-01-25	2021-01-25	1810801	1029.00	0.00	1029.00	OPEN
APR-20210010-TOOL	2021-01-22	2021-01-22	1810801	1800.00	0.00	1800.00	OPEN
APR-20210009	2021-01-21	2021-01-21	1810801	16745.40	0.00	16745.40	OPEN
APR-20210007- TOOL	2021-01-18	2021-01-18	1810801	5000.00	0.00	5000.00	OPEN
APR-20210005-TOOL	2021-01-14	2021-01-14	1810801	90.00	0.00	90.00	OPEN
APR-20210002	2021-01-08	2021-01-08	1810801	2940.90	0.00	2940.90	OPEN
APR-20210001	2021-01-04	2021-01-04	1810801	1200.50	0.00	1200.50	OPEN
APR-20200130	2020-12-30	2020-12-30	1810801	132.00	0.00	132.00	OPEN
APR-20200128	2020-12-26	2020-12-26	1810801	960.40	0.00	960.40	OPEN
APR-20200127	2020-12-24	2020-12-24	1810801	22589.43	0.00	22589.43	OPEN
APR-20200122-TOOL	2020-12-21	2020-12-21	1810801	2000.00	0.00	2000.00	OPEN
APR-20200123-TOOL	2020-12-21	2020-12-21	1810801	400.00	0.00	400.00	OPEN
APR-20200124-TOOL	2020-12-21	2020-12-21	1810801	1800.00	0.00	1800.00	OPEN
APR-20200125-TOOL	2020-12-21	2020-12-21	1810801	150.00	0.00	150.00	OPEN
APR-20200126-TOOL	2020-12-21	2020-12-21	1810801	1545.24	0.00	1545.24	OPEN
APR-20200121	2020-12-18	2020-12-18	1810801	763.50	0.00	763.50	OPEN
APR-20200119	2020-12-17	2020-12-17	1810801	76399.49	0.00	76399.49	OPEN
APR-20200094	2020-12-16	2020-12-16	1810801	115095.68	0.00	115095.68	OPEN
APR-20200120	2020-12-15	2020-12-15	1810801	436.60	0.00	436.60	OPEN
APR-20200118	2020-12-14	2020-12-14	1810801	196.00	0.00	196.00	OPEN
APR-20200117-TOOL	2020-12-11	2020-12-11	1810801	99.80	0.00	99.80	OPEN
APR-20200116	2020-12-10	2020-12-10	1810801	749.70	0.00	749.70	OPEN
APR-20200111	2020-12-05	2020-12-05	1810801	156044.61	0.00	156044.61	OPEN
APR-20200115	2020-12-04	2020-12-04	1810801	980.00	0.00	980.00	OPEN
APR-20200112	2020-12-03	2020-12-03	1810801	2183.00	0.00	2183.00	OPEN
APR-20200113-TOOL	2020-12-03	2020-12-03	1810801	2000.00	0.00	2000.00	OPEN
APR-20200107	2020-12-02	2020-12-02	1810801	588.00	0.00	588.00	OPEN
APR-20200108-TOOL	2020-12-02	2020-12-02	1810801	3050.00	0.00	3050.00	OPEN
APR-20200109	2020-12-02	2020-12-02	1810801	180.00	0.00	180.00	OPEN
APR-20140021-TOOL	2020-12-01	2020-12-01	1810801	1800.00	0.00	1800.00	OPEN
APR-20140042-TOOL	2020-12-01	2020-12-01	1810801	800.00	0.00	800.00	OPEN
APR-20140043-TOOL	2020-12-01	2020-12-01	1810801	800.00	0.00	800.00	OPEN
APR-20140051-TOOL	2020-12-01	2020-12-01	1810801	800.00	0.00	800.00	OPEN
APR-20140052-TOOL	2020-12-01	2020-12-01	1810801	800.00	0.00	800.00	OPEN
APR-20140053-TOOL	2020-12-01	2020-12-01	1810801	800.00	0.00	800.00	OPEN
APR-20140087-TOOL	2020-12-01	2020-12-01	1810801	800.00	0.00	800.00	OPEN
APR-20140176-TOOL	2020-12-01	2020-12-01	1810801	800.00	0.00	800.00	OPEN
APR-20160078-TOOL	2020-12-01	2020-12-01	1810801	900.00	0.00	900.00	OPEN
APR-20160125-TOOL	2020-12-01	2020-12-01	1810801	400.00	0.00	400.00	OPEN
APR-20170030-TOOL	2020-12-01	2020-12-01	1810801	500.00	0.00	500.00	OPEN
APR-20170032	2020-12-01	2020-12-01	1810801	3000.00	0.00	3000.00	OPEN
APR-20180084-TOOL	2020-12-01	2020-12-01	1810801	3045.00	0.00	3045.00	OPEN
APR-20180094-TOOL	2020-12-01	2020-12-01	1810801	750.00	0.00	750.00	OPEN
APR-20180095-TOOL	2020-12-01	2020-12-01	1810801	200.00	0.00	200.00	OPEN
APR-20180096-TOOL	2020-12-01	2020-12-01	1810801	200.00	0.00	200.00	OPEN
APR-20180103-TOOL	2020-12-01	2020-12-01	1810801	1200.00	0.00	1200.00	OPEN
