billNo	billDate	dueDate	vendorId	amountCurrency	payments	openAmount	status
APR-20180003	2018-01-05	2018-01-05	1810801	602.00	0.00	602.00	OPEN
APR-20170109	2017-12-22	2017-12-22	1810801	98439.28	0.00	98439.28	OPEN
APR-20170108	2017-12-18	2017-12-18	1810801	801.00	0.00	801.00	OPEN
APR-20170106	2017-12-08	2017-12-08	1810801	100297.70	0.00	100297.70	OPEN
APR-20170105	2017-12-01	2017-12-01	1810801	134539.18	0.00	134539.18	OPEN
APR-20170103	2017-11-17	2017-11-17	1810801	57.61	0.00	57.61	OPEN
APR-20170102	2017-11-16	2017-11-16	1810801	110966.81	0.00	110966.81	OPEN
APR-20170071	2017-11-09	2017-11-09	1810801	89439.72	0.00	89439.72	OPEN
APR-20170101	2017-11-01	2017-11-01	1810801	1800.00	0.00	1800.00	OPEN
APR-20170005	2017-10-30	2017-10-30	1810801	1000.00	0.00	1000.00	OPEN
APR-20170099	2017-10-23	2017-10-23	1810801	1099.00	0.00	1099.00	OPEN
APR-20170093	2017-10-20	2017-10-20	1810801	142825.40	0.00	142825.40	OPEN
APR-20170098	2017-10-19	2017-10-19	1810801	478.34	0.00	478.34	OPEN
APR-20170096	2017-10-18	2017-10-18	1810801	483.00	0.00	483.00	OPEN
APR-20170097	2017-10-18	2017-10-18	1810801	502.56	0.00	502.56	OPEN
APR-20160111	2017-10-17	2017-10-17	1810801	784.23	0.00	784.23	OPEN
APR-20170095	2017-10-17	2017-10-17	1810801	1588.00	0.00	1588.00	OPEN
APR-20170065	2017-10-16	2017-10-16	1810801	116105.92	0.00	116105.92	OPEN
APR-20170092	2017-10-14	2017-10-14	1810801	1600.00	0.00	1600.00	OPEN
APR-20170091	2017-10-13	2017-10-13	1810801	500.00	0.00	500.00	OPEN
APR-20170090	2017-10-09	2017-10-09	1810801	960.00	0.00	960.00	OPEN
APR-20170088	2017-09-30	2017-09-30	1810801	158412.50	0.00	158412.50	OPEN
APR-20170089	2017-09-29	2017-09-29	1810801	400.00	0.00	400.00	OPEN
APR-20170081	2017-09-21	2017-09-21	1810801	2838.60	0.00	2838.60	OPEN
APR-20170087	2017-09-21	2017-09-21	1810801	765.00	0.00	765.00	OPEN
APR-20170086	2017-09-20	2017-09-20	1810801	800.00	0.00	800.00	OPEN
APR-20170080	2017-09-16	2017-09-16	1810801	89615.56	0.00	89615.56	OPEN
APR-20170082	2017-09-15	2017-09-15	1810801	2000.00	0.00	2000.00	OPEN
APR-20170083	2017-09-15	2017-09-15	1810801	100.00	0.00	100.00	OPEN
APR-20170084	2017-09-15	2017-09-15	1810801	519.40	0.00	519.40	OPEN
APR-20170079	2017-09-12	2017-09-12	1810801	779.10	0.00	779.10	OPEN
APR-20170078	2017-09-11	2017-09-11	1810801	900.00	0.00	900.00	OPEN
1397	2017-09-08	2017-09-08	1810801	102394.59	0.00	102394.59	OPEN
APR-20170076	2017-09-07	2017-09-07	1810801	56.22	0.00	56.22	OPEN
APR-20170073	2017-09-01	2017-09-01	1810801	101580.53	0.00	101580.53	OPEN
APR-20170072	2017-08-28	2017-08-28	1810801	124.00	0.00	124.00	OPEN
APR-20160120	2017-08-24	2017-08-24	1810801	900.00	0.00	900.00	OPEN
APR-20170070	2017-08-14	2017-08-14	1810801	793.80	0.00	793.80	OPEN
APR-20170069	2017-08-12	2017-08-12	1810801	1024.20	0.00	1024.20	OPEN
16.1031.01 adjustment	2017-08-03	2017-08-03	1810801	296.10	0.00	296.10	OPEN
APR-20170067	2017-07-29	2017-07-29	1810801	906.40	0.00	906.40	OPEN
APR-20170068	2017-07-29	2017-07-29	1810801	824.80	0.00	824.80	OPEN
799	2017-07-27	2017-07-27	1810801	120690.17	0.00	120690.17	OPEN
APR-20170066	2017-07-27	2017-07-27	1810801	110507.13	0.00	110507.13	OPEN
APR-20170055	2017-07-18	2017-07-18	1810801	35.80	0.00	35.80	OPEN
17.0508.01 Adjustment	2017-07-11	2017-07-11	1810801	3664.25	0.00	3664.25	OPEN
APR-20170047	2017-07-11	2017-07-11	1810801	169.72	0.00	169.72	OPEN
APR-20170064	2017-07-08	2017-07-08	1810801	853.50	0.00	853.50	OPEN
APR-20170062	2017-06-30	2017-06-30	1810801	102637.77	0.00	102637.77	OPEN
APR-20170043	2017-06-28	2017-06-28	1810801	100770.95	0.00	100770.95	OPEN
APR-20170063	2017-06-26	2017-06-26	1810801	290.19	0.00	290.19	OPEN
APR-20170061	2017-06-21	2017-06-21	1810801	583.10	0.00	583.10	OPEN
APR-20170060	2017-06-20	2017-06-20	1810801	500.00	0.00	500.00	OPEN
APR-20170057	2017-06-16	2017-06-16	1810801	110749.02	0.00	110749.02	OPEN
APR-20170059	2017-06-15	2017-06-15	1810801	512.10	0.00	512.10	OPEN
APR-20170058	2017-06-13	2017-06-13	1810801	1000.00	0.00	1000.00	OPEN
APR-20170051	2017-06-07	2017-06-07	1810801	932.00	0.00	932.00	OPEN
APR-20170056	2017-06-07	2017-06-07	1810801	394.32	0.00	394.32	OPEN
APR-20170053	2017-06-03	2017-06-03	1810801	439.04	0.00	439.04	OPEN
APR-20170054	2017-06-03	2017-06-03	1810801	900.00	0.00	900.00	OPEN
APR-20170054-1	2017-06-03	2017-06-03	1810801	375.00	0.00	375.00	OPEN
APR-20170049	2017-06-01	2017-06-01	1810801	140.00	0.00	140.00	OPEN
APR-20170029-A	2017-05-31	2017-05-31	1810801	36764.34	0.00	36764.34	OPEN
APR-20170031	2017-05-26	2017-05-26	1810801	700.00	0.00	700.00	OPEN
APR-20170050	2017-05-26	2017-05-26	1810801	850.00	0.00	850.00	OPEN
APR-20170048	2017-05-24	2017-05-24	1810801	680.00	0.00	680.00	OPEN
APR-20170045	2017-05-16	2017-05-16	1810801	3500.00	0.00	3500.00	OPEN
APR-20170046	2017-05-16	2017-05-16	1810801	3000.00	0.00	3000.00	OPEN
APR-20170025	2017-05-15	2017-05-15	1810801	1500.00	0.00	1500.00	OPEN
APR-20170044	2017-05-15	2017-05-15	1810801	435.00	0.00	435.00	OPEN
APR-20160105	2017-05-11	2017-05-11	1810801	1500.00	0.00	1500.00	OPEN
APR-20170040	2017-05-11	2017-05-11	1810801	153.00	0.00	153.00	OPEN
APR-20170042	2017-05-11	2017-05-11	1810801	270.00	0.00	270.00	OPEN
279	2017-05-08	2017-05-08	1810801	110363.68	0.00	110363.68	OPEN
APR-20170037	2017-05-05	2017-05-05	1810801	107756.15	0.00	107756.15	OPEN
APR-20170039	2017-05-05	2017-05-05	1810801	322.62	0.00	322.62	OPEN
APR-20160066	2017-05-01	2017-05-01	1810801	3000.00	0.00	3000.00	OPEN
APR-20160098	2017-05-01	2017-05-01	1810801	200.00	0.00	200.00	OPEN
APR-20160099	2017-05-01	2017-05-01	1810801	900.00	0.00	900.00	OPEN
APR-20160100	2017-05-01	2017-05-01	1810801	100.00	0.00	100.00	OPEN
APR-20160101	2017-05-01	2017-05-01	1810801	100.00	0.00	100.00	OPEN
APR-20160102	2017-05-01	2017-05-01	1810801	100.00	0.00	100.00	OPEN
APR-20160104	2017-05-01	2017-05-01	1810801	1500.00	0.00	1500.00	OPEN
APR-20160106	2017-05-01	2017-05-01	1810801	900.00	0.00	900.00	OPEN
APR-20160107	2017-05-01	2017-05-01	1810801	800.00	0.00	800.00	OPEN
APR-20160110	2017-05-01	2017-05-01	1810801	1500.00	0.00	1500.00	OPEN
APR-20160120-1	2017-05-01	2017-05-01	1810801	900.00	0.00	900.00	OPEN
APR-20160122	2017-05-01	2017-05-01	1810801	2000.00	0.00	2000.00	OPEN
APR-20170021	2017-05-01	2017-05-01	1810801	1200.00	0.00	1200.00	OPEN
APR-20170034	2017-04-27	2017-04-27	1810801	122048.65	0.00	122048.65	OPEN
APR-20170035	2017-04-26	2017-04-26	1810801	136.88	0.00	136.88	OPEN
APR-20170036	2017-04-26	2017-04-26	1810801	800.00	0.00	800.00	OPEN
APR-20170029-B	2017-04-14	2017-04-14	1810801	90274.15	0.00	90274.15	OPEN
apr-20170028	2017-04-06	2017-04-06	1810801	322.62	0.00	322.62	OPEN
APR-20170026-A	2017-03-31	2017-03-31	1810801	90123.60	0.00	90123.60	OPEN
APR-20170026-B	2017-03-31	2017-03-31	1810801	92980.09	0.00	92980.09	OPEN
APR-20170027	2017-03-28	2017-03-28	1810801	98.00	0.00	98.00	OPEN
APR-20170023	2017-03-17	2017-03-17	1810801	33744.08	0.00	33744.08	OPEN
APR-20170024	2017-03-15	2017-03-15	1810801	440.00	0.00	440.00	OPEN
APR-20170022	2017-03-10	2017-03-10	1810801	823.20	0.00	823.20	OPEN
APR-20170018	2017-03-06	2017-03-06	1810801	142.60	0.00	142.60	OPEN
APR-20170016-A	2017-03-03	2017-03-03	1810801	85720.25	0.00	85720.25	OPEN
APR-20170016-B	2017-03-03	2017-03-03	1810801	67937.01	0.00	67937.01	OPEN
APR-20170017	2017-03-03	2017-03-03	1810801	454.06	0.00	454.06	OPEN
APR-20170019	2017-03-01	2017-03-01	1810801	180.40	0.00	180.40	OPEN
APR-20170013	2017-02-24	2017-02-24	1810801	147.00	0.00	147.00	OPEN
APR-20170014	2017-02-21	2017-02-21	1810801	315.00	0.00	315.00	OPEN
APR-20170012	2017-02-20	2017-02-20	1810801	198.00	0.00	198.00	OPEN
APR-20170010	2017-02-14	2017-02-14	1810801	55.80	0.00	55.80	OPEN
APR-20170009	2017-02-10	2017-02-10	1810801	97022.82	0.00	97022.82	OPEN
APR-20160138-1	2017-02-09	2017-02-09	1810801	87972.31	0.00	87972.31	OPEN
APR-20160006	2017-01-29	2017-01-29	1810801	600.00	0.00	600.00	OPEN
APR-20170004	2017-01-18	2017-01-18	1810801	500.00	0.00	500.00	OPEN
APR-20170002	2017-01-17	2017-01-17	1810801	800.00	0.00	800.00	OPEN
APR-20160025	2017-01-01	2017-01-01	1810801	750.00	0.00	750.00	OPEN
APR-20160026	2017-01-01	2017-01-01	1810801	700.00	0.00	700.00	OPEN
APR-20160134	2017-01-01	2017-01-01	1810801	300.00	0.00	300.00	OPEN
APR-20160135	2017-01-01	2017-01-01	1810801	300.00	0.00	300.00	OPEN
APR-20160136	2017-01-01	2017-01-01	1810801	400.00	0.00	400.00	OPEN
