cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance
1520804,"",202304106,2023-12-04,2024-02-02,USD,40724.88,0.00,40724.88
1577102,"",202303295,2023-10-02,2023-12-31,USD,39994.50,0.00,39994.50
1577102,"",202303915,2023-11-20,2024-02-18,USD,39484.20,0.00,39484.20
1577106,"",202303804,2023-11-07,2024-02-05,USD,39139.80,0.00,39139.80
1456501,"",202304398,2023-12-18,2024-03-17,USD,38505.60,0.00,38505.60
1456501,"",202304320,2023-12-13,2024-03-12,USD,38505.60,0.00,38505.60
1577106,"",202303927,2023-11-21,2024-02-19,USD,38423.70,0.00,38423.70
1577102,"",202303743,2023-11-03,2024-02-01,USD,38249.82,0.00,38249.82
1577102,"",202303450,2023-10-11,2024-01-09,USD,38249.82,0.00,38249.82
1319903,"",202304126,2023-12-04,2023-12-19,USD,38228.40,0.00,38228.40
1822501,"",202304295,2023-12-12,2024-02-10,USD,37800.00,0.00,37800.00
1052001,"",202303980,2023-11-27,2023-12-27,USD,37800.00,0.00,37800.00
1577106,"",202303591,2023-10-24,2024-01-22,USD,37669.80,0.00,37669.80
1577106,"",202304435,2023-12-19,2024-03-18,USD,37573.20,0.00,37573.20
1577106,"",202303803,2023-11-07,2024-02-05,USD,37573.20,0.00,37573.20
1577118,"",202303240,2023-09-26,2023-12-25,USD,37573.20,0.00,37573.20
1275203,"",202304395,2023-12-18,2024-03-17,USD,37464.00,0.00,37464.00
1275203,"",202304388,2023-12-18,2024-03-17,USD,37464.00,0.00,37464.00
1275203,"",202303917,2023-11-20,2024-02-18,USD,37464.00,0.00,37464.00
1275203,"",202303778,2023-11-06,2024-02-04,USD,37464.00,0.00,37464.00
1275203,"",202303555,2023-10-23,2024-01-21,USD,37464.00,0.00,37464.00
1275203,"",202303419,2023-10-09,2024-01-07,USD,37464.00,0.00,37464.00
1275203,"",202303119,2023-09-18,2023-12-17,USD,37464.00,0.00,37464.00
1822501,"",202303512,2023-10-16,2023-12-15,USD,37408.14,0.00,37408.14
1520801,"",202304039,2023-11-29,2024-02-12,USD,36462.72,0.00,36462.72
1820701,"",202303890,2023-11-17,2024-01-01,USD,36456.00,0.00,36456.00
