cust,cust_name,inv_num,inv_date,due_date,currency,inv_amount,paid_total,balance,events
1275203,"",202304109,20231204 00:00:00.000,20240303 00:00:00.000,USD,2432.00,0.00,2432.00,1
1275203,"",202304394,20231218 00:00:00.000,20240317 00:00:00.000,USD,2432.00,0.00,2432.00,1
1319903,"",202304256,20231211 00:00:00.000,20231226 00:00:00.000,USD,2427.20,0.00,2427.20,1
1822501,"",202303387,20231006 00:00:00.000,20231205 00:00:00.000,USD,2425.92,0.00,2425.92,1
1319905,"",202304282,20231211 00:00:00.000,20231226 00:00:00.000,USD,2422.87,0.00,2422.87,1
1319905,"",202304490,20231220 00:00:00.000,20240104 00:00:00.000,USD,2422.87,0.00,2422.87,1
1011301,"",202304495,20231221 00:00:00.000,20240219 00:00:00.000,USD,2420.80,0.00,2420.80,1
1456501,"",202303129,20230918 00:00:00.000,20231217 00:00:00.000,USD,2373.12,0.00,2373.12,1
1456501,"",202303304,20231002 00:00:00.000,20231231 00:00:00.000,USD,2373.12,0.00,2373.12,1
1456501,"",202303379,20231005 00:00:00.000,20240103 00:00:00.000,USD,2373.12,0.00,2373.12,1
1456501,"",202303519,20231018 00:00:00.000,20240116 00:00:00.000,USD,2373.12,0.00,2373.12,1
1822501,"",202304366,20231215 00:00:00.000,20240213 00:00:00.000,USD,2328.00,0.00,2328.00,1
1577102,"",202303506,20231016 00:00:00.000,20240114 00:00:00.000,USD,2325.84,0.00,2325.84,1
1275203,"",202303420,20231009 00:00:00.000,20240107 00:00:00.000,USD,2306.56,0.00,2306.56,1
1275203,"",202303655,20231030 00:00:00.000,20240128 00:00:00.000,USD,2306.56,0.00,2306.56,1
1820701,"",202303892,20231117 00:00:00.000,20240101 00:00:00.000,USD,2300.00,0.00,2300.00,1
1822501,"",202303973,20231122 00:00:00.000,20240121 00:00:00.000,USD,2277.00,0.00,2277.00,1
1319905,"",202304197,20231207 00:00:00.000,20231222 00:00:00.000,USD,2268.00,0.00,2268.00,1
1283301,"",202303996,20231127 00:00:00.000,20231227 00:00:00.000,USD,2246.58,0.00,2246.58,1
1520804,"",202304253,20231211 00:00:00.000,20240209 00:00:00.000,USD,2224.50,0.00,2224.50,1
1319905,"",202304243,20231208 00:00:00.000,20231223 00:00:00.000,USD,2195.08,0.00,2195.08,1
1319905,"",202304280,20231211 00:00:00.000,20231226 00:00:00.000,USD,2195.08,0.00,2195.08,1
1577106,"",202303236,20230926 00:00:00.000,20231225 00:00:00.000,USD,2181.08,0.00,2181.08,1
1822501,"",202303730,20231103 00:00:00.000,20240102 00:00:00.000,USD,2163.00,0.00,2163.00,1
1738501,"",202303510,20231016 00:00:00.000,20240114 00:00:00.000,USD,2125.00,0.00,2125.00,1
1738507,"",202304220,20231208 00:00:00.000,20240122 00:00:00.000,USD,2122.40,0.00,2122.40,1
1577118,"",202304441,20231219 00:00:00.000,20240318 00:00:00.000,USD,2087.40,0.00,2087.40,1
1520804,"",202304108,20231204 00:00:00.000,20240202 00:00:00.000,USD,2046.54,0.00,2046.54,1
1319905,"",202304460,20231219 00:00:00.000,20240103 00:00:00.000,USD,2025.56,0.00,2025.56,1
1319905,"",202304488,20231220 00:00:00.000,20240104 00:00:00.000,USD,2025.56,0.00,2025.56,1
1822501,"",202304219,20231208 00:00:00.000,20240206 00:00:00.000,USD,2019.15,0.00,2019.15,1
1577125,"",202303637,20231026 00:00:00.000,20240124 00:00:00.000,USD,1994.40,0.00,1994.40,1
1577106,"",202303680,20231031 00:00:00.000,20240129 00:00:00.000,USD,1982.80,0.00,1982.80,1
1577106,"",202304436,20231219 00:00:00.000,20240318 00:00:00.000,USD,1982.80,0.00,1982.80,1
1319905,"",202304521,20231222 00:00:00.000,20240106 00:00:00.000,USD,1950.00,0.00,1950.00,1
1520804,"",202304106,20231204 00:00:00.000,20240202 00:00:00.000,USD,1939.28,0.00,1939.28,1
1520804,"",202304251,20231211 00:00:00.000,20240209 00:00:00.000,USD,1939.28,0.00,1939.28,1
1577102,"",202303295,20231002 00:00:00.000,20231231 00:00:00.000,USD,1904.50,0.00,1904.50,1
1577102,"",202303915,20231120 00:00:00.000,20240218 00:00:00.000,USD,1880.20,0.00,1880.20,1
1577106,"",202303804,20231107 00:00:00.000,20240205 00:00:00.000,USD,1863.80,0.00,1863.80,1
1456501,"",202304320,20231213 00:00:00.000,20240312 00:00:00.000,USD,1833.60,0.00,1833.60,1
1456501,"",202304398,20231218 00:00:00.000,20240317 00:00:00.000,USD,1833.60,0.00,1833.60,1
1577106,"",202303927,20231121 00:00:00.000,20240219 00:00:00.000,USD,1829.70,0.00,1829.70,1
1577102,"",202303450,20231011 00:00:00.000,20240109 00:00:00.000,USD,1821.42,0.00,1821.42,1
1577102,"",202303743,20231103 00:00:00.000,20240201 00:00:00.000,USD,1821.42,0.00,1821.42,1
1319903,"",202304126,20231204 00:00:00.000,20231219 00:00:00.000,USD,1820.40,0.00,1820.40,1
1052001,"",202303980,20231127 00:00:00.000,20231227 00:00:00.000,USD,1800.00,0.00,1800.00,1
1822501,"",202304295,20231212 00:00:00.000,20240210 00:00:00.000,USD,1800.00,0.00,1800.00,1
